Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"12 YEARS","Lucky Rathore","12 YEARS","Sad🥺❤️","Playlist","CHF032508005","0cIA4bUqEKOSxJGudhEUlc"
"Deewana Kar Raha Hai","Javed Ali","Raaz 3","Sad🥺❤️","Playlist","INS181202495","2tva3nN2kQhBjHMC7Zlty6"
"Sanam Teri Kasam","Himesh Reshammiya","Sanam Teri Kasam (Original Motion Picture Soundtrack) [Deluxe Edition]","Sad🥺❤️","Playlist","GBSGZ1500559","6Wuj97Iy5tDUCng1PX9x5H"
"Bol Kaffara Kya Hoga","Dj Chetas","Bol Kaffara Kya Hoga","Sad🥺❤️","Playlist","FRX762128606","0tE7G1E9Mc2Eo5ZUIfKQbo"
"Sunn Le Zara","Arnab Dutta","1921 (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INZ031403090","5td0Iz1f7nbC4GX1npZte2"
"Ye Tune Kya Kiya","Pritam","Once Upon Ay Time In Mumbai Dobaara !","Sad🥺❤️","Playlist","INS181304385","2cPUB8EOT6AfJ8oxhyoNXL"
"Tanha Hua","Jyoti Nooran","Zero","Sad🥺❤️","Playlist","INS181803002","4pvWJ4u5cQ5Mmb123iA6hj"
"Bewajah","Himesh Reshammiya","Sanam Teri Kasam (Original Motion Picture Soundtrack) [Deluxe Edition]","Sad🥺❤️","Playlist","GBSGZ1500561","2Pf4gxPUxLOZ5buYFBVWev"
"Sunn Raha Hai","Ankit Tiwari","Aashiqui 2","Sad🥺❤️","Playlist","INS181303032","5PvwPy5eRO8BPwpRzCHK3D"
"Bekhayali (From ""Kabir Singh"")","Sachet Tandon","Bekhayali (From ""Kabir Singh"")","Sad🥺❤️","Playlist","INS181901739","1feANd8EfcDP5UqSvbheM3"
"Tu hai kahaan","Tuneit","Tu hai kahaan","Sad🥺❤️","Playlist","GX4R52597595","7HQbaN76WIUcpcWy9KpLJv"
"Tu Hain Kahan (Slowed & Reverb)","Karan Bhambhani","Tu Hain Kahan (Slowed & Reverb)","Sad🥺❤️","Playlist","IEWNY2402285","6cWPmcGedrAyCxPefvkX1k"
"Pal Pal","Abhishek Thapa","Pal Pal","Sad🥺❤️","Playlist","TCAIT2435058","2V82bSJqzG3PqIpRP5FIVD"
"TU HAI YAHAN","Akpanku","TU HAI YAHAN","Sad🥺❤️","Playlist","QZTVM2437930","3vFIsZCMu2UxW9VK9wJNLX"
"Mann Mera - Original Version","Gajendra Verma","Mann Mera (Original Version)","Sad🥺❤️","Playlist","INS172501376","1As2Jo89VTF9V3D6GuOPr9"
"Hasi - Male Version","Ami Mishra","Hamari Adhuri Kahani (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INS171500727","32765xcLM1fd6wQIpkN9A0"
"Shiddat Title Track","Manan Bhardwaj","Shiddat","Sad🥺❤️","Playlist","INS182101535","5O9jxRlG72h1sYxtqWwUcF"
"Khamoshiyan","Jeet Gannguli","Khamoshiyan (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INS171402465","6zCQF5tu7HVwU9shhKqiuF"
"Tadap Tadap","KK","Hum Dil De Chuke Sanam","Sad🥺❤️","Playlist","INS189912033","6n6hEYHXBzWfdSzBX20ZRw"
"Ek Bewafaa Hai","Sonu Nigam","Bewafaa (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INT100400007","1PL4f0FhA8SW79C4h5mWM2"
"Hale Dil","Harshit Saxena","Murder 2","Sad🥺❤️","Playlist","INS181101310","6GQK4G5o60E8YA18DGpAzv"
"Khayaal","Talwiinder","Khayaal","Sad🥺❤️","Playlist","INS172300906","4D8eFUu6Hvulrq6CGqGaLR"
"Ehsaas","Faheem Abdullah","Ehsaas","Sad🥺❤️","Playlist","INUM72500325","5PetOhEX9N0oyBB0Keqobv"
"Aye Khuda","Kshitij Tarey","Murder 2","Sad🥺❤️","Playlist","INS181101312","1SdMHj6tJp2YZ5INflJR1T"
"Teri Yaadon Se","Pranaay","Blood Money (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INS171200123","0FXXvePGfMxgENnXLpBc76"
"Hum Jee Lenge","Mustafa Zahid","Murder 3 (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INS171300019","1gekzL984xr4fbxVgVGQhC"
"Uska Hi Banana (From ""1920 Evil Returns"")","Arijit Singh","Arijit Singh Broken Strings","Sad🥺❤️","Playlist","INS181204311","3h6Xvd0lISog6GxTk4X6MK"
"O Khuda","Amaal Mallik","Hero","Sad🥺❤️","Playlist","INS181501276","5bdX7jiXtSbHX35pgxJo8p"
"Bhula Dena","Mustafa Zahid","Aashiqui 2","Sad🥺❤️","Playlist","INS181303037","0WNCYgCd33LnBnw22WFuq8"
"Chaahat","Jeet Gannguli","Blood Money (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INS171200120","6cLdrOr82mTQdwaqT9fkou"
"Tum Hi Aana (From ""Marjaavaan"")","Payal Dev","Tum Hi Aana (From ""Marjaavaan"")","Sad🥺❤️","Playlist","INS181905004","6E9UwSfT80age2xknoMS7Y"
"O Saathi","Atif Aslam","O Saathi (From ""Baaghi 2"")","Sad🥺❤️","Playlist","INS181800584","6fScgF2Y63ScU73nYju0ny"
"Muskurane - Romantic","Jeet Gannguli","Citylights (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INS171400522","6fW78cd0p3ZDUzoqvx2Xqe"
"Ishq","Faheem Abdullah","Lost;Found","Sad🥺❤️","Playlist","FR96X2451081","1hlbywc8Jhl1FFqJxAMabE"
"Aaja We Mahiya","Imran Khan","Unforgettable","Sad🥺❤️","Playlist","GBRCG0900002","5MoJ3MVKGGf25LxrFoxDSK"
"Milne Hai Mujhse Aayi (From ""Aashiqui 2"")","Arijit Singh","Arijit Singh Broken Strings","Sad🥺❤️","Playlist","INS181303040","24b9eObMccIrDSs3NvdrRd"
"Jo Tum Mere Ho","Anuv Jain","Jo Tum Mere Ho","Sad🥺❤️","Playlist","INUM72400721","0eCajpR75pDW0r64U6hP2x"
"Tera Chehra","Himesh Reshammiya","Sanam Teri Kasam (Original Motion Picture Soundtrack) [Deluxe Edition]","Sad🥺❤️","Playlist","GBSGZ1500562","0fU73va0bnroitbOzudBU4"
"Dard Dilo Ke","Mohammed Irfan","The Xpose","Sad🥺❤️","Playlist","INS181400812","2NxMbuIckpHvpXe220f4uw"
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Sad🥺❤️","Playlist","INS181902088","2Fv2injs4qAm8mJBGaxVKU"
"Gulabi Aankhen","Sanam","Universally SANAM","Sad🥺❤️","Playlist","INUM71900031","1ccZZf0IQi5y0bHMl2aGDF"
"Apna Bana Le","Sachin-Jigar","Bhediya (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INZ031411736","1hA697u7e1jX2XM8sWA6Uy"
"Tu Hi Tu","Mohammed Irfan","Kick","Sad🥺❤️","Playlist","INS181401382","2f5sTEhwX8qwCPgGPBavdx"
"Zara Zara","Bombay Jayashri","Rehnaa Hai Terre Dil Mein","Sad🥺❤️","Playlist","INH100152390","4Q7Q9bmbY5Lo7YamHngO4O"
"Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]","Arijit Singh","Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]","Sad🥺❤️","Playlist","INS181902087","6aPMWbbdhDhiJHlknZb9Yx"
"Banjaara","Mohammed Irfan","Ek Villain","Sad🥺❤️","Playlist","INS181401028","4eFnk661RcdOuH9ajiTO3j"
"Kabhi Jo Baadal Barse (From ""Jackpot)","Arijit Singh","Love Dose Arijit Singh","Sad🥺❤️","Playlist","INS181306448","2dOWkdPfiT9SU2Wm734Rh6"
"Baarish","Mohammed Irfan","Yaariyan","Sad🥺❤️","Playlist","INS181306566","6ABHr8kYCws5z6gC9Lwith"
"Tera Deedar Hua","Pritam","Jannat 2 (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INS171200267","0d1JQdBaeetUo8xAiKCT3C"
"Itni Si Baat Hain (From ""Azhar"")","Arijit Singh","Love Forever With Arijit Singh","Sad🥺❤️","Playlist","INS181600638","55TlMMnPJTk9Qq6CrqB6dx"
"Let Her Go x Husn","Lewis Hanton","Let Her Go x Husn","Sad🥺❤️","Playlist","GX89G2479648","06fP8ZtG6SRN5gs9MMB1dQ"
"People X Nainowale Ne - Lofi","Callen Row","People Nainowale Ne - Lofi","Sad🥺❤️","Playlist","FRDKW2312463","5jCnhZKmBykDEvQPoRcyTP"
"Let Me Down Slowly x Main Dhoondne","sunnyys","Let Me Down Slowly x Main Dhoondne","Sad🥺❤️","Playlist","GXESV2425535","0WZDdNTbEhvesp8uCjAQCk"
